Serial,City,School Name
705,mumbai,Mainadevi Bajaj International School
706,mumbai,MALTI JAYANT DALAL HIGH SCHOOL
707,mumbai,Maneckji Cooper Education Trust School
708,mumbai,Manjunatha Vidyalaya
709,mumbai,MAR THOMA VIDYAPEETH
710,mumbai,Marble Arch School
711,mumbai,MARIA ENGLISH HIGH SCHOOL
712,mumbai,Marol Education Academy's High School & Junior College
713,mumbai,Marshmallows International Preschool
714,mumbai,Marwari Commercial High School &amp; Junior Collage
715,mumbai,Marwari Commercial High School & Junior College
716,mumbai,Marwari Vidyalaya High School
717,mumbai,MATRIX ACADEMY SCHOOL
718,mumbai,Matunga Premier School
719,mumbai,Matushri Kashiben Vrajlal Valia International Vidyalaya
720,mumbai,"Meridian School, Titwala"
721,mumbai,MES Public School
722,mumbai,MES Vidya Mandir
723,mumbai,MET Rishikul Vidyalaya
724,mumbai,MET Rishikul Vidyalaya
725,mumbai,Michael High School
726,mumbai,Mighty Minds
727,mumbai,MILLAT HIGH SCHOOL (GIRLS) ENGLISH MEDIUM
728,mumbai,MILLAT HIGH SCHOOL(BOYS) ENGLISH MEDIUM
729,mumbai,Millennium English School
730,mumbai,Mindgrove
731,mumbai,Mindseed Preschool & Daycare - Airoli
732,mumbai,Mindseed Preschool & Daycare - Hariom Nagar
